Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Interesting
16 قصة أخلاقية رائعة الجزء الثاني,3,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Audio & Video CD/DVD,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/504111.jpg",1
حكايات جحا,3,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/502664.jpg",1
365 قصة للبنات,3,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Audio & Video CD/DVD,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/502670.jpg",1
ديزني ملكة الثلج 5 دقائق من كنز الحكايات,1,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/493440.jpg",1
أغنى رجل في بابل,2,4.9,0.00161,‎جورج كلاسون‎,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,, New Arrivals,, E-Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/5/251044.jpg",0
صوفيا تصبح أميرة مجموعة قصص قصيرة,2,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/493445.jpg",1
أميرات ديزني 5 دقائق من كنز الحكايات,2,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/493448.jpg",1
ديزني بيكسار مجموعة قصص قصيرة,2,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/493454.jpg",1
ديزني ملكة الثلج فروزن محموعة قصص قصيرة,2,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/493457.jpg",1
عش اللحظة,1,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/510041.jpg",1
أنت قادر على هذا,1,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/510046.jpg",1
اصنع ديناصورك مليء بحقائق الديناصورات الشرسة,1,5.0,0.00012,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/518191.jpg",1
1001 شيء للبحث عنها القراصنة,1,0.0,0.0,‎سلسلة 1001 شيء للبحث عنها‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/518206.jpg",1
1001 شيء للبحث عنها لاعبة الاستعراض,1,0.0,0.0,‎سلسلة 1001 شيء للبحث عنها‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/518207.jpg",1
