Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Interesting
لغات الحب الخمس كيف تعبر عن حبك العميق لشريك حياتك,3,5.0,0.00087,‎جاري تشابمان‎,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/3/2/3/c/323ccdc64bbdb9e0b2410625aea5381b34a899f2_327816.jpg",1
(ما الصوت؟ فرووم (كتاب صوتي,3,0.0,0.0,‎سلسلة ما الصوت‎,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/420548.jpg",1
لوسي,0,0.0,0.0,Unknown,كتاب فلين,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/420747.jpg",1
200 كلمة لمساعدتك على التحدث عن علم النفس,1,0.0,0.0,‎مايكل بريت‎,Paperback,"Jarir Publications Books,, Politics & Social Sciences,, New Arrivals,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/0/9/d/8/09d8de4f65baa8be30907e0e7e834541bd13f099_620648.jpg",1
كتابي الاول البحث والاستكشاف كتاب صوتي الحيوانات,4,0.0,0.0,‎اصدارات مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/c/9/5/1/c9519512526d4f35e30431e858bed065754d4489_619411.jpg",1
كتابي الاول البحث والاستكشاف كتاب صوتي يومي الحافل,4,0.0,0.0,‎اصدارات مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/e/2/6/ee26395e8d257269fd6fba5c8ff06bf9acc085d8_619412.jpg",1
طريق النجاح,1,0.0,0.0,‎هيلين اكسلي‎,Paperback,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/8/7/3/8873ac075f5943e103ce45a8e2b4eb5ec31549bc_619837.jpg",1
365 حكمة لكل يوم مقولات يومية من قبس الحكمة,3,0.0,0.0,‎هيلين اكسلي‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/5/8/a/6/58a6746dc4089fbc83c2862bc1000d348a3fa110_619846.jpg",1
ابنتي العزيزة رسائل يومية مليئة بالحب,3,0.0,0.0,‎هيلين اكسلي‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/f/a/6/4/fa641add92f4171ae62d5900e6ab23651aadcc37_619849.jpg",1
تفاءل احلم عش 365 فكرة ايجابية و متفائلة لكل يوم,3,0.0,0.0,‎هيلين اكسلي‎,Paperback,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/2/2/1/c/221c82f55b48609b053fa45839163546957444fd_619853.jpg",1
كيف تؤثر على الاخرين وتكسب الاصدقاء الكتاب الوحيد الذي يمكنه أن يقودك الى النجاح,2,0.0,0.0,‎ديل كارنيجي‎,Paperback,"Jarir Publications Books,, Self Development,, New Arrivals,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/9/8/c/998c52761d9f1d2407a0d46fe235308da8254ab6_620022.jpg",1
أسرار عقل المليونير اتقان لعبة تحقيق الثراء,2,4.4,0.00112,‎ت.هارف ايكر‎,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,, Bargain Books,, New Arrivals,, E-Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/7/276808.jpg",0
سلسلة مواقف يومية 8 مواقف يتعرض لها الطفل يوميا 1/8 فى علبة,3,0.0,0.0,‎مكتبة جرير‎,Paperback,"Jarir Publications Books,, Audio & Video CD/DVD,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/8/e/0/88e00b6d7308fd05403944fc2969cdc55a528606_623103.jpg",1
المتميز في مقياس موهبة 3-4-5 الطبعة الخامسة,4,0.0,0.0,‎ابراهيم قشير‎,Paperback,"School Textbooks,, New Arrivals,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/3/d/f/8/3df8719bd0683178d3888a103a406a16c29b7a45_636002.jpg",1
المتميز في مقياس موهبة 6-7-8 لاختبار القدرات العقلية المتعددة الطبعة الخامسة,4,0.0,0.0,‎ابراهيم قشير‎,Paperback,"School Textbooks,, New Arrivals,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/f/8/9/0/f8900103ab1af7ebfc15d0bd09c90aa770bee863_642428.jpg",0
حصن المسلم صغير,0,0.0,0.0,‎سعيد على وهب القحطانى‎,Paperback,"Islamic & Religion Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/4/f/e/0/4fe03f505ddbc6ed0db69867b345da66d593361c_632200.jpg",1
أم في مليون,1,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/549547.jpg",1
أب في مليون,1,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/549548.jpg",0
تبا للتوتر تلميحات ونصائح عن كيفية القضاء على القلق,1,0.0,0.0,‎أليكس مارتين‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/549565.jpg",1
تبا للقلق تلميحات ونصائح عن القضاء على مخاوفك,1,0.0,0.0,‎أليكس مارتين‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/549566.jpg",1
اصنع ذاتك,1,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/549574.jpg",1
حكايات 5 دقائق قصص ما قبل المدرسة,1,0.0,0.0,‎سلسلة حكايات 5 دقائق‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/549591.jpg",1
الشعور الجيد العلاج الجديد للتقلبات المزاجية,4,5.0,0.00087,‎ديفيد دي بيرنز‎,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/4/449573.jpg",0
5 دقائق من حكايات قبل النوم,2,0.0,0.0,‎سلسلة 5 دقائق من حكايات‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/545245.jpg",1
فروزن 2 ملكة الثلج طبعة بلاتينية,1,0.0,0.0,‎ديزني‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/538597.jpg",1
جوهر الحياة كلمات ملهمة,0,0.0,0.0,‎ستيفانو أجابيو‎,غلاف مقوى,"Jarir Publications Books,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/3/532610.jpg",1
افعل ما يجعل روحك تشرق,1,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/3/532827.jpg",1
100 شيء لرفع معنوياتك عندما تشعر بالاحباط,1,0.0,0.0,‎جوليا لافلين‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/3/532493.jpg",1
العناية بالذات كيف تعيش حياة واعية وتعتني بنفسك,1,0.0,0.0,‎كلير تشامبرلين‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/3/532502.jpg",1
لا تتخل عن أحلام يقظتك,0,0.0,0.0,‎اصدارات مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/3/532508.jpg",1
كلي ونامي وأبهري الاخرين,1,3.0,0.00025,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/3/532513.jpg",1
كن سعيدا,0,0.0,0.0,‎هيلين اكسلي‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/550674.jpg",1
كن واثقا,0,0.0,0.0,‎هيلين اكسلي‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/550675.jpg",1
مغامرات شيرلوك هولمز,1,4.3,0.00074,‎آرثر كونان دويل‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/502641.jpg",1
كن ايجابيا,0,0.0,0.0,‎هيلين اكسلي‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/550680.jpg",1
تعلم كتابة جدول الضرب اكتب وامسح مع قلم,0,0.0,0.0,‎سلسلة تعلم كتابة‎,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/550706.jpg",1
تعلم كتابة الحروف الابجدية الكبيرة اكتب وامسح مع قلم,0,0.0,0.0,‎سلسلة تعلم كتابة‎,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/550707.jpg",1
جثة في المكتبة روايات مصورة,2,5.0,0.00025,‎أجاثا كريستي‎,غلاف مقوى,"Jarir Publications Books,, Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/a/1/6/c/a16c9cafd793873d1d64debf72fa8e0e69348cc7_560527.jpg",1
متعلق العلم الجديد لتعلق البالغين وكيف يستطيع مساعدتك في العثور على الحب والحفاظ عليه,3,0.0,0.0,‎راشيل اس اف هيلر ‎/‎ أمير ليفين‎,Paperback,"Jarir Publications Books,, Self Development,, New Arrivals,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/7/8/e/e78ea8299a16bdfc321f8a4bcd85f9f4f3701b5b_563071.jpg",1
مكتبتي الصغيرة الاميرات,3,0.0,0.0,‎سلسلة الاميرات‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, New Arrivals,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/5/c/5/7/5c5740b1ae5e3c99265c847b9dbcbb32b407d94b_561533.jpg",1
العادات السبع بايجاز حكمة خالدة لعالم سريع التغير,1,0.0,0.0,‎ستيفن ار كوفي‎,Paperback,"Jarir Publications Books,, Self Development,, New Arrivals,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/3/1/7/1/3171c244252d17f077120f74f1b96732dc46fd98_558808.jpg",1
ازالة القلق علم جديد يظهر كيفية كسر حلقات القلق والخوف لعلاج عقلك,4,0.0,0.0,‎جودسن بروير‎,غلاف مقوى,"Jarir Publications Books,, Self Development,, New Arrivals,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/5/2/7/9/527914e3a806948dbdb7fb4642f1aa2ba9c1a773_567731.jpg",1
101 مبادىء الفلسفة,3,0.0,0.0,‎بول كلينمان‎,غلاف مقوى,"Jarir Publications Books,, Politics & Social Sciences,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/6/5/7/f/657f1e1c5cd723873cce786e33ae643019073ff6_567739.jpg",1
يحب الاطفال الكلمة وعكسها,1,0.0,0.0,‎سلسلة يحب الاطفال‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/526714.jpg",1
من الذي حرك قطعة الجبن الخاصة بي,3,4.8,0.00112,‎سبنسر جونسون‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,, Self Development,, New Arrivals,, E-Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/1/6/169850.jpg",1
يحب الاطفال الالوان,1,0.0,0.0,‎سلسلة يحب الاطفال‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/526716.jpg",1
علاقة العقل بالامعاء كيف يؤثر الحوار الخفي داخل اجسامنا في حالتنا المزاجية وخياراتنا و صحتنا ككل,3,5.0,0.00012,‎امران ماير‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,, Health, Fitness & Dieting,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/529201.jpg",1
كنزي الاول من قصص الجميلات,2,0.0,0.0,‎سلسلة كنزي الاول‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/524992.jpg",1
كتابي الاول من قصص الحيوانات,1,0.0,0.0,‎سلسلة كتابي الاول‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/524993.jpg",1
كنزي الاول من قصص وقت النوم,2,0.0,0.0,‎سلسلة كنزي الاول‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/524995.jpg",0
حكايات للاطفال في سن 2 عامين حكايات رائعة للاطفال,1,0.0,0.0,‎اصدارات مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/464465.jpg",1
حكايات للبنات في سن عام قصص رائعة للبنات الصغيرات,1,0.0,0.0,Unknown,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/464466.jpg",1
حكايات للبنات في سن عامين قصص رائعة للبنات الصغيرات,1,0.0,0.0,Unknown,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/464467.jpg",1
كنزي من حكايات وقت الراحة مجموعة رائعة من القصص اللطيفة لوقت النوم,2,0.0,0.0,Unknown,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/464472.jpg",1
1001 شيء للبحث عنها الاميرات اعثري على 12 مفتاحا ذهبيا في المملكة,1,5.0,0.00012,‎اصدارات مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/464481.jpg",1
مذكرات شيرلوك هولمز,1,4.6,0.00062,‎آرثر كونان دويل‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/502661.jpg",1
الادارة مكتبة براين تراسي للنجاح,1,0.0,0.0,‎براين تراسي‎,غلاف مقوى,"Jarir Publications Books,, Business & Management,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/465329.jpg",1
The Housemaid's Secret - This Perfect Home Has One Rule. Don't Look Behind Closed Doors.,4,0.0,0.0,Freida McFadden,Paperback,"Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/7/b/7/d7b73287d9e877a403222d348669c8c0163eb6a8_620418.jpg",1
The Fury - There were Seven of Us on The Island. One of Us was a Murderer...,4,0.0,0.0,Alex Michaelides,Paperback,"Fiction & Literature,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/4/e/a/d/4eadd41f82ee18ef8de81686bb17e2032d331327_627725.jpg",1
The Unfortunate Side Effects of Heartbreak and Magic - A Novel,3,0.0,0.0,Breanne Randall,Paperback,"Fiction & Literature,, New Arrivals,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/0/8/5/3/0853840026abfc5adf63e69dc47b2e4026886249_628356.jpg",1
Emily Wilde's Encyclopaedia of Faeries,3,0.0,0.0,Heather Fawcett,Paperback,"Fiction & Literature,, New Arrivals,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/5/a/e/95ae216596cc4208be681633436e5e5f0068071f_631862.jpg",1
The Coworker - You See Her Everyday,3,0.0,0.0,Freida McFadden,Paperback,"Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/f/d/e/efdeb7bf689da620fb5f36fdb09530b836d231f8_632504.jpg",1
Psychology of Money - Timeless Lesson on Wealth,4,0.0,0.0,Morgan Housel,Paperback,"Business & Management,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/563138.jpg",1
Dune,3,5.0,0.00012,Frank Herbert,Paperback,"Fiction & Literature,, Science Fiction,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/559663.jpg",1
Rich Dad Poor Dad,3,0.0,0.0,Robert Kiyosaki,Paperback,"Business & Management,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/1/c/b/7/1cb754763fb1d5badbcd73e5ec4e47b5257b69f5_581225.jpg",0
The Final Gambit,3,0.0,0.0,Jennifer Lynn Barnes,Paperback,"Best Sellers,, Fiction & Literature","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/f/e/2/c/fe2c2f711fc88a5a48a1cc60b98cf1932b9be728_593388.jpg",1
لانك الله الجزء الاول رحلة الى السماء السابعة,2,5.0,0.00062,‎علي جابر الفيفي‎,Paperback,"Islamic & Religion Books,, New Arrivals,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/a/d/f/dadf37ad30faa5f18d56d50ecffb69da3ac70bce_597975.jpg",1
كتاب التحصيلي علمي 46-47 (2025),4,4.3,0.00099,Nasser bin Abdulaziz Al-Abdulkarim,Paperback,Graduate School Test Guides,"https://images-eu.ssl-images-amazon.com/images/I/711G5sHK6QL._AC_UL300_SR300,200_.jpg",1
El Sharq library المعاصر 9 تاسيس كمي 2/1 ورقي ومحوسب,4,4.5,0.02703, عماد الجزيري,Paperback,Graduate School Test Guides,"https://images-eu.ssl-images-amazon.com/images/I/61bz3P6Bv4L._AC_UL300_SR300,200_.jpg",1
Coloriages mystères Pixar,4,4.7,0.32279,Jérémy Mariez,Paperback,Self-Help,"https://images-eu.ssl-images-amazon.com/images/I/81yEhlMz2HL._AC_UL300_SR300,200_.jpg",1
Coloriages mystères Disney Princesses: Coloriez les chiffres et découvrez l'image,4,4.7,0.72507,Jérémy Mariez,Paperback, Sports & Outdoors,"https://images-eu.ssl-images-amazon.com/images/I/81EqE1+IxzL._AC_UL300_SR300,200_.jpg",0
My First 365 Coloring Book: Jumbo Coloring Book for Kids (with Tear Out Sheets),1,4.6,0.20064,Wonder House Books,Paperback,Literature & Fiction for Children,"https://images-eu.ssl-images-amazon.com/images/I/71ge72GnrpL._AC_UL300_SR300,200_.jpg",1
My First Library : Boxset Of 10 Board Books For Kids: Boxset for Kids (Pack-1),3,4.6,10.0,Wonder House Books,Board book,Literature & Fiction for Children,"https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL300_SR300,200_.jpg",0
The Power of your Subconscious Mind,2,4.5,1.74861,Joseph Murphy,Paperback,Self-Esteem,"https://images-eu.ssl-images-amazon.com/images/I/61WMgOHyDaL._AC_UL300_SR300,200_.jpg",1
مذكرات أخصائي نفسي - نورة محمد الكيال,4,0.0,0.0, نورة محمد الكيال,Paperback,Psychology & Counseling,"https://images-eu.ssl-images-amazon.com/images/I/61h6o5j-SxL._AC_UL300_SR300,200_.jpg",1
Coloriages mystères Disney - Les Grands classiques Tome 11,4,4.5,0.0966,Jérémy Mariez,Paperback,Literature & Fiction for Children,"https://images-eu.ssl-images-amazon.com/images/I/816OVZU20cL._AC_UL300_SR300,200_.jpg",1
فاتتني صلاة,1,4.7,0.0372,اسلام جمال ,Paperback,Literary Fiction,"https://images-eu.ssl-images-amazon.com/images/I/61Cc+xopBNL._AC_UL300_SR300,200_.jpg",1
كتيب الانشطة الضخمة للبنات مع 1000 نشاط مرح و 500 ملصق,1,5.0,0.00099,‎مكتبة جرير‎,Paperback,"Jarir Publications Books,, Audio & Video CD/DVD,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/513663.jpg",1
Iron Flame: 2,4,4.6,1.59906,Rebecca Yarros,Hardcover,Literature & Fiction,"https://images-eu.ssl-images-amazon.com/images/I/917Bc9C1MlL._AC_UL300_SR300,200_.jpg",1
Creative Haven Main Street Coloring Book,2,4.7,0.3058,Teresa Goodridge,Paperback,Crafts & Hobbies,"https://images-eu.ssl-images-amazon.com/images/I/91XP39IVwfL._AC_UL300_SR300,200_.jpg",1
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",3,4.7,2.53221,Morgan Housel,Paperback,Finance,"https://images-eu.ssl-images-amazon.com/images/I/81wZXiu4OiL._AC_UL300_SR300,200_.jpg",1
100 First Words (Ms. Rachel),2,4.8,0.01476,Ms. Rachel,Board book,Early Learning for Children,"https://images-eu.ssl-images-amazon.com/images/I/811bt83wB7L._AC_UL300_SR300,200_.jpg",1
101 Unicorn Colouring Book: Fun Activity Colouring Book for Children,0,4.6,0.28683,Wonder House Books,Paperback,Children's Books on Crafts & Hobbies,"https://images-eu.ssl-images-amazon.com/images/I/71Xde5joqVL._AC_UL300_SR300,200_.jpg",1
