Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Mean_Red,Mean_Green,Mean_Blue,Contrast,Edge_Complexity,Color_Variance,Color_Saturation,Sharpness,Interesting
قوة عقلك الباطن,65.0,4.6,17,Joseph Murphy.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/1/6/169834.jpg",243.7232734693877,219.26882448979592,212.88155102040807,54.02785347438667,15.458204081632651,4047.042550874292,35.595232653061224,1011.5697224473136,0
الفتاة الثالثة الجريمة المنسية,37.0,4.9,11,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/450969.jpg",150.9362857142857,145.19937142857142,128.45514285714285,110.09402130650376,10.02930612244898,12578.439973724806,50.36695510204082,821.3596969510037,1
أغنى رجل في بابل,35.0,4.9,13,George Klason.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/5/251044.jpg",244.20928163265307,213.9490040816327,152.08115102040816,39.52265517216835,10.628816326530613,4115.166875357038,98.15822040816326,540.5164324658725,0
مميز بالاصفر,40.0,4.4,14,"Rochelle Bennington/H Jackson Brown, son.",Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/4/343945.jpg",247.3083836734694,246.69302857142856,234.3626775510204,35.28306085674788,6.663306122448979,2131.8058033841376,15.391110204081633,725.3464489795919,0
الرجال من المريخ النساء من الزهرة الدليل الرائع لفهم الجنس الاخر,69.0,4.3,10,John Gray.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/1/3/130610.jpg",175.6246775510204,218.08697142857145,158.24637551020407,47.66550522439202,16.501102040816328,4584.193268174081,80.36395918367347,603.8091506844817,0
ابدأ من حيث أنت دفتر يوميات للاستكشاف الذاتي,28.0,4.9,8,Mira Lie Patel,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/459105.jpg",227.4152081632653,223.26736326530613,215.78527346938776,43.34929877055809,19.80673469387755,2476.367644753789,28.869820408163264,969.2012311250978,0
عقدك النفسية سجنك الابدي,69.0,5.0,11,Yusuf Al-Husseni,Paperback,Politics & Social Sciences,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/563593.jpg",174.22513469387755,90.84979591836736,91.34398367346938,103.16265400881936,10.77869387755102,14614.776748821409,124.30150204081632,504.4520652994586,1
لغات الحب الخمس كيف تعبر عن حبك العميق لشريك حياتك,55.0,5.0,7,Gary Chapman.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/3/2/3/c/323ccdc64bbdb9e0b2410625aea5381b34a899f2_327816.jpg",230.2247346938776,198.93595102040817,202.2161632653061,64.73545318569276,12.56473469387755,4793.313479495425,44.72985306122449,637.4640567269639,0
أسرار عقل المليونير اتقان لعبة تحقيق الثراء,39.0,4.4,9,T. Harv Ecker.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/7/276808.jpg",233.7878448979592,226.9842857142857,214.99177959183675,48.76889477348998,12.24,2503.573459453072,36.03250612244898,704.1258037135195,0
الشعور الجيد العلاج الجديد للتقلبات المزاجية,80.0,5.0,7,David de Burns.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/4/449573.jpg",237.2843673469388,226.2963183673469,159.77911020408163,40.84292197263692,11.894448979591838,4549.371975505575,97.6712163265306,707.4112326530612,0
مغامرات شيرلوك هولمز,32.0,4.3,6,Arthur Conan Doyle.,غلاف مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/502641.jpg",218.0778775510204,213.31831836734693,199.72097142857143,61.22402089458046,14.24461224489796,4254.823674645868,30.735551020408163,596.1224662040817,0
من الذي حرك قطعة الجبن الخاصة بي,49.0,4.8,9,Spencer Johnson.,غلاف مقوى,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/1/6/169850.jpg",236.55649795918367,227.9918530612245,228.08524897959185,53.02578577712985,16.988204081632652,3068.850503857053,24.13698775510204,1186.8582600249224,0
مذكرات شيرلوك هولمز,32.0,4.6,5,Arthur Conan Doyle.,غلاف مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/502661.jpg",195.8848571428572,218.29865306122448,203.6300571428572,53.14877437715993,19.484081632653066,3527.1687585043705,49.04482448979592,615.6667366008164,0
لانك الله الجزء الاول رحلة الى السماء السابعة,35.0,5.0,5,Ali Jaber Alfifie,Paperback,Religion & Spirituality,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/a/d/f/dadf37ad30faa5f18d56d50ecffb69da3ac70bce_597975.jpg",130.07302040816327,171.6890612244898,207.06752653061224,76.84025188795312,15.42073469387755,6588.9980103502885,111.40848979591836,640.583367685531,1
كتيب الانشطة الضخمة للبنات مع 1000 نشاط مرح و 500 ملصق,33.0,5.0,8,Greer's library.,Paperback,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/513663.jpg",143.8782612244898,138.66488163265305,145.84151020408163,80.34637912243336,58.46889795918367,6624.863554782543,58.75455510204082,2746.069476603082,1
القهوة السوداء,37.0,4.5,8,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/411822.jpg",185.7193795918368,175.86620408163265,157.7141142857143,85.60246411397284,11.740408163265306,8137.149108561292,55.70672653061224,827.8620640185923,1
المنزل الاعوج جريمة قتل في منزل آل ليونيدز,37.0,5.0,6,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/3/8/d/b/38dbe304f85f5bdf364a09f58047c9cc956b6e30_411829.jpg",146.00140408163264,166.08715102040816,159.69568979591836,88.98095821392045,18.634775510204083,8475.790002351612,69.6973387755102,821.6884481878551,1
اعلان عن جريمة,37.0,4.8,5,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/7/0/2/e702d1da7bbc0a6c08dddf5db9248d135989e877_315080.jpg",162.88116734693878,159.67472653061225,160.34125714285713,91.68412339615504,17.0714693877551,8402.5923022274,24.877608163265307,942.214623926964,1
لغز القطار الازرق,37.0,5.0,6,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/3/338804.jpg",119.4097306122449,124.35977959183674,139.0299836734694,112.37184565487236,4.779428571428571,12438.35615344093,125.86585306122448,522.2451591836734,1
قوة العادات لماذا نعمل ما نعمل فى الحياة الشخصية والعملية,85.0,5.0,3,Charles Doug.,غلاف مقوى,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/9/397906.jpg",248.3917469387755,230.77291428571428,81.99553469387754,40.1991897112707,13.63469387755102,11093.781099605712,171.54031836734694,857.7923265306123,1
365 قصة عن الاخلاق عبرة في كل يوم تبعدك عن المتاعب,68.0,4.7,3,Unknown,غلاف مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/454250.jpg",199.4526612244898,201.8873632653061,180.7835755102041,65.54533431449768,24.54869387755102,5917.089543376327,68.10723265306123,921.4801583507538,0
جثة في المكتبة,37.0,4.9,8,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/7/6/8/5/76857c3e1faa01ccb5cc35074a403c039425a570_296946.jpg",167.1685224489796,151.87941224489796,152.44189387755102,91.94758798907658,15.389510204081631,8669.95049462712,47.60242448979592,866.5042683795751,1
فكر وازدد ثراء اكتشف قوتك السحرية لتصبح ثريا,55.0,4.2,5,Napoleon Hill.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/411059.jpg",236.4543102040816,230.42231020408164,215.81538775510205,40.25249314523798,10.293673469387755,1950.9252070530536,26.586816326530613,380.5611494604581,0
ماجدولين,35.0,5.0,3,Mustafa Lutfi,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/3/536514.jpg",226.6596081632653,153.85715918367347,120.6084,67.23006840355207,16.45738775510204,7989.328215699837,128.7999673469388,186.24964846354013,1
أمير الشر الجزء الاول,75.0,3.7,3,Holly Black.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/a/7/8/9a7850ce32333860d19f614d759f8bbcac71f239_567904.jpg",142.96741224489796,149.5202775510204,155.9592979591837,92.25424018175788,23.499551020408163,8535.999309513363,44.91513469387755,856.9985368743688,1
يحب الاطفال الكلمات الاولى,25.0,5.0,3,A chain likes kids.,غلاف مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/526711.jpg",222.84782040816327,199.63604081632653,166.08500408163266,40.02984710369613,20.06277551020408,2976.4578286188457,75.57027755102041,603.4110320440483,0
شفاء الطفل التائه بداخلك كيف توقف ردود الفعل الاندفاعية,49.0,5.0,3,Robert Jackman.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/0/4/c/c/04ccd74f9683e21fdd9705e9c48235ce093d0e2a_571837.jpg",183.77470204081632,184.167306122449,180.8201306122449,66.55979974064203,9.78991836734694,4547.037697233234,19.31644081632653,372.5924486436651,0
أيقظ قواك الخفية كيف تتحكم فورا بمستقبلك الذهني والعاطفي و الجسماني و المالي,68.0,4.7,3,Anthony Robbins.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/1/2/123421.jpg",189.3002612244898,176.44133877551022,154.40793469387756,77.02366333577866,15.834979591836737,7087.316804375034,60.14324081632653,750.9079242003166,1
الاهداف / كيف تحصل على كل شيء تريده أسرع مما ظننته ممكنا,41.0,5.0,3,Brian Tracy.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/8/383248.jpg",144.31431020408164,143.9688244897959,165.86173061224488,96.37501321789942,14.706734693877552,9556.45914849912,85.0553306122449,833.0577306119783,1
لا أعذار قوة الانضباط الذاتي,46.0,5.0,3,Brian Tracy.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/8/385407.jpeg",243.5453306122449,236.18336326530613,240.09968163265307,40.74211109650247,13.826204081632651,1655.1294564777563,15.158930612244898,747.7592481732611,0
الساعات جثة في منزل الانسة العمياء,37.0,4.8,4,Agatha Christie.,Paperback,Fiction Genres,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/450964.jpg",193.5094857142857,169.1465224489796,127.11501224489795,81.52522438561147,18.32044897959184,8768.842159748256,108.52470204081632,855.4088775476216,1
التلوين الباعث على الصفاء والهدوء فن الوعي التام,45.0,5.0,4,Greer's library issues.,Paperback,"Arts, Crafts, & Hobbies","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/455718.jpg",161.15059591836734,171.5577142857143,182.19952653061225,63.034285060574845,44.61979591836735,4129.782152813366,54.398702040816325,3738.966080635669,1
كتاب التلوين من أجل الهدوء رسومات جميلة لتخفيف همومك,45.0,4.7,3,Group of authors,Paperback,"Arts, Crafts, & Hobbies","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/455727.jpg",236.3703346938776,227.23338775510203,220.9168,45.79723362268525,34.48640816326531,2594.7888121601486,22.611779591836736,1263.7005182226735,0
طفل المخ الكامل 12 استراتيجية ثورية للعناية بالمخ النامي,33.0,5.0,3,Tina Payne Bryson/Daniel Ji Segel.,Paperback,Self-Help & Personal Development,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/456797.jpg",218.08877551020407,181.7269142857143,203.65823673469387,74.42314844262694,13.451510204081632,5193.225204282392,59.97083265306122,743.8910772337526,0
كتاب التلوين للكبار رسومات تساعدك على التخلص من التوتر,45.0,5.0,3,Greer's library issues.,Paperback,"Arts, Crafts, & Hobbies","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/457900.jpg",227.37117551020407,213.70971428571428,212.5940081632653,44.02071460111141,36.25787755102041,2340.541717742607,31.04277551020408,1828.0402503689463,0
العجلات المتحركة سيارة المطافي,25.0,5.0,2,The wheel chain.,كتاب مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/458622.jpg",220.1845959183673,169.2523918367347,156.5957551020408,68.61839735675906,15.868285714285712,6758.43253666068,73.87048979591837,525.8141034835486,1
حكايات الاحلام السعيدة كنز من حكايات الاطفال,49.0,5.0,2,Unknown,غلاف مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/454518.jpg",129.1437387755102,99.83951836734694,108.06846530612243,68.12648458320723,20.25220408163265,6378.165271915252,173.17555918367347,700.1231455087714,1
حكايات الخمس دقائق قصص ما قبل النوم قصص لطيفة تساعد على النوم,25.0,4.0,2,Five-minute story series,غلاف مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/429642.jpg",156.77324897959184,157.55647346938775,175.16044897959185,76.06304752419024,13.695061224489796,5417.431926681542,74.38791836734694,257.4820637307122,1
حكايات ما قبل النوم 7 حكايات قبل النوم,25.0,3.5,2,Greer's library.,غلاف مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/429643.jpg",161.51168979591836,153.48782040816326,165.41566530612246,72.03551874849217,19.64228571428572,5253.167386475034,74.8292081632653,539.4084515102041,1
501 شيء لتبحثي عنها أشياء مثيرة لتبحثي عنها وتحددي مكانها 3 أرانب,25.0,5.0,2,Greer's library.,غلاف مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/429647.jpg",199.79816326530613,163.7457469387755,185.4170530612245,60.888817310084185,30.516734693877552,3930.236081021618,67.96512653061224,1044.678663430171,0
من جيد الى عظيم,72.0,5.0,4,Jim Collins.,غلاف مقوى,Business & Finance,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/4/442111.jpg",238.21874285714287,106.56431836734694,111.99844897959184,78.16028229202529,9.629632653061224,11275.869724372436,145.41461224489797,391.2428979591172,1
(أنا أسمع أصدقائي من الحيوانات الصغيرة (كتاب صوتي,46.0,5.0,2,A chain I hear.,كتاب مقوى,Children & Young Adults,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/4/441356.jpg",127.40997551020408,142.53728163265305,108.6081224489796,49.02872517445907,14.117632653061223,4437.045151296913,137.1071755102041,498.5456048222575,1
