,Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image
62,ÍßÇíÇÊ áÎãÓ ÏŞÇÆŞ ŞÕÕ ÇáÍíæÇäÇÊ ŞÕÕ ãÑÍÉ íÌÈ ŞÑÇÁÊåÇ æÇáÇÍÊİÇÙ ÈåÇ,25,5,(2 reviews),ıÓáÓáÉ ÍßÇíÇÊ áÎãÓ ÏŞÇÆŞı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/504087.jpg"
63,ÇíßíÌÇí ÇáÓÑ ÇáíÇÈÇäí áÚíÔ ÍíÇÉ ãËãÑÉ æÓÚíÏÉ,49,5,(4 reviews),ıßíä ãæÌíı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/491538.jpg"
64,ÇáãäÕİ İí ÇáŞÏÑÇÊ Èäß ÇÓÆáÉ ÇáãÍæÓÈ ÇáÌÏíÏÉ ÌÒÆíä ÇáØÈÚÉ ÇáÎÇãÓÉ,115,5,(2 reviews),ıãÍãæÏ ãäÕİı,Paperback,"School Textbooks,, New Arrivals, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/6/1/f/e61f42f88c6060fe934e7a9b2fbc9d25f0b2f4ad_643847.jpg"
65,ÑÓÇÆá ãä ÇáŞÑÂä,53,5,(2 reviews),ıÔÚÈÇä ãäíÑı,Paperback,"Islamic & Religion Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/6/5/7/4/657453b2a047145bf0202c266fe0a6fabedc80bb_638398.jpg"
66,ãæÓæÚÊí ÇáßÈíÑÉ Úä ÇáİÖÇÁ æÇáßæä,46,5,(2 reviews),ıãßÊÈÉ ÌÑíÑı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/422044.jpg"
67,(ãÇ ÇáÕæÊ¿ ÍíæÇäÇÊ (ßÊÇÈ ÕæÊí,45,4.5,(2 reviews),ıÓáÓáÉ ãÇ ÇáÕæÊı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/420546.jpg"
68,ÇáäãæĞÌ ÇáÑÈÇÚì ááÊÏİŞÇÊ ÇáäŞÏíÉ,45,4,(2 reviews),ıÑæÈÑÊ Êì ßíæÓÇßìı,Paperback,"Jarir Publications Books,, Business & Management,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/6/a/0/86a04dfd2331440610353a947e39acee1ecd460a_282345.jpg"
69,ÇáÚÇÏÇÊ Çá 7 ááÇÔÎÇÕ Ğæí ÇáİÚÇáíÉ ÇáÚÇáíÉ,89,5,(2 reviews),ıÓÊíİä ÇÑ ßæİíı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Self Development,, New Arrivals,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/a/2/6/6/a266421e58c99612bf37d2582302e4de00e03edb_560533.jpg"
70,ÇáßÊÇÈ ÇáßÈíÑ ááÇäÔØÉ ÇáÑÇÆÚÉ,69,5,(4 reviews),ıÓáÓáÉ ÇáßÊÇÈ ÇáßÈíÑı,Paperback,"Jarir Publications Books,, Audio & Video CD/DVD,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/503726.jpg"
71,ßíİ ÊÑíÍ ÚŞáß,33,4.7,(3 reviews),ıÂäÇ ÈÇÑäÒı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/521739.jpg"
72,ãĞßÑÉ ÇáÓÚÇÏÉ,32,5,(2 reviews),ıÇäÇ ÈÇÑäÒı,Paperback,"Jarir Publications Books,, Self Development,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/549576.jpg"
73,Óæİ ÊÑÇå ÚäÏãÇ ÊÄãä Èå ÓÈíáß Çáì ÇáÊÍæá ÇáĞÇÊí,33,5,(2 reviews),ıæÇíä ÏÈáíæ ÏÇíÑı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/2/222216.jpeg"
74,ßíİ ÊŞæá áÇ ÊæŞİ Úä ãÍÇæáÉ ÇÑÖÇÁ ÇáÇÎÑíä ááÇÈÏ,27,4.5,(2 reviews),ıÓæÒÇä äíæãÇäı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/8/281574.jpg"
75,ÇáãæÊ Úáì ÖİÇİ Çáäíá,37,5,(3 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/9/296950.jpg"
76,21 ŞÇäæäÇ áÇ íŞÈá ÇáÌÏá İí ÇáŞíÇÏÉ,45,5,(2 reviews),ıÌæä Óí. ãÇßÓæíáı,Paperback,"Jarir Publications Books,, Best Sellers,, Business & Management,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/2/328942.jpg"
77,ÇáÇİßÇÑ æÇáãÔÇÚÑ ÇáÓíØÑÉ Úáì ÍÇáÇÊß ÇáãÒÇÌíÉ æÚáì ÍíÇÊß,60,5,(2 reviews),ıãÇÑËÇ ÏíİíÒ ı/ı ãÇËíæ ãÇßÃíı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/5/352853.jpg"
78,áÛÉ ÇáÌÓÏ Úáã æÃÓÑÇÑ áÛÉ ÇáÌÓÏ İí ÇáÚãá,33,4.5,(2 reviews),ıßÇÑæá ßíäÒí ÌæãÇäı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,, Bargain Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/5/356736.jpg"
79,İåã ÇáÇÓåã,64,4.3,(4 reviews),ıãÇíßá ÓäÓíÑı,Paperback,"Jarir Publications Books,, Best Sellers,, Business & Management,, Bargain Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/420322.jpg"
80,ÇáÌæÇÈ ßíİ ÊãÓß ÈãŞÇáíÏ ÍíÇÊß æÊÕÈÍ ÇáÔÎÕ ÇáĞí ÊæÏ Ãä Êßæä Úáíå,43,5,(2 reviews),ıÇáÇä æ ÈÇÑÈÇÑÇ ÈíÒı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,, Bargain Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/465058.jpg"
81,ßÊÇÈ Êáæíä ßÈíÑ æÑÇÆÚ ÃÒÑŞ ÃßËÑ ãä 140 ÕİÍÉ ããÊÚÉ,34,4,(2 reviews),ıãßÊÈÉ ÌÑíÑı,Paperback,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/477595.jpg"
82,ÇáĞßÇÁ ÇáÚÇØİí æÓÈÈ ßæäå ÃßËÑ ÃåãíÉ ãä ÍÇÕá ÇáĞßÇÁ,52,5,(2 reviews),ıÏÇäíÇá ÌæáãÇäı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,, Bargain Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/9/292492.jpg"
83,ÔÎÈØ æáæä ßÊÇÈ ÃäÔØÉ æÊáæíä ããÊÚ,20,5,(2 reviews),ıãßÊÈÉ ÌÑíÑı,Paperback,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/477865.jpg"
84,1001 ÔíÁ ááÈÍË ÚäåÇ ÇáãÑßÈÇÊ,30,4,(1 review),ıÓáÓáÉ 1001 ÔíÁ ááÈÍË ÚäåÇı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/518208.jpg"
85,101 ãÈÇÏìÁ ÓæŞ ÇáÇÓåã ÏæÑÉ ãßËİÉ İí ÈíÚ æ ÔÑÇÁ ÇáÇÓåã,54,4,(2 reviews),ıãíÔíá ßÇÌÇäı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,, Business & Management,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/518849.jpg"
86,ÍßÇíÇÊ áÎãÓ ÏŞÇÆŞ ŞÕÕ ÇáÇãíÑÇÊ ŞÕÕ ÚÌíÈÉ íÌÈ ŞÑÇÁÊåÇ æÇáÇÍÊİÇÙ ÈåÇ,25,5,(1 review),ıÓáÓáÉ ÍßÇíÇÊ áÎãÓ ÏŞÇÆŞı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/504086.jpg"
87,ÍßÇíÇÊ ááÇØİÇá İí Óä 1 ÚÇã ÍßÇíÇÊ ÑÇÆÚÉ ááÇØİÇá,25,5,(2 reviews),ıÇÕÏÇÑÇÊ ãßÊÈÉ ÌÑíÑı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/464463.jpg"
88,1001 ÔíÁ ááÈÍË ÚäåÇ ÇáÏíäÇÕæÑÇÊ,30,5,(1 review),ıÇÕÏÇÑÇÊ ãßÊÈÉ ÌÑíÑı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/464480.jpg"
89,ßäÒ ãä ÍßÇíÇÊ ÇáÍíæÇäÇÊ,49,5,(1 review),ıÇÕÏÇÑÇÊ ãßÊÈÉ ÌÑíÑı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/454509.jpg"
90,ßäÒ ÇáÇØİÇá ãÌãæÚÉ ãä ÇáÍßÇíÇÊ ÇáÑÇÆÚÉ,49,5,(1 review),ını/ıaı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/454511.jpg"
91,ãßÊÈÉ ÇáØİá ÇáÇæáì ÇáÍíæÇäÇÊ,39,5,(1 review),ını/ıaı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/458609.jpg"
92,ãßÊÈÉ ÇáØİá ÇáÇæáì ÌÓãí,39,5,(1 review),ını/ıaı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/458613.jpg"
93,ÇáÚÌáÇÊ ÇáãÊÍÑßÉ ÓíÇÑÉ ÇáÇÓÚÇİ,25,5,(1 review),ıÓáÓáÉ ÇáÚÌáÇÊ ÇáãÊÍÑßÉı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/458620.jpg"
94,ÇáÓÑ äÓÎÉ ÇáĞßÑì ÇáÓäæíÉ ÇáÚÇÔÑÉ ááßÊÇÈ,89,2.3,(4 reviews),ıÑæäÏÇ ÈÇíÑäı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,, Self Development,, Bargain Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/471945.jpg"
95,åÇíÏí,15,4,(1 review),ıÓáÓáÉ ÇáŞÕÉ ÇáÑÇÆÚÉı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/470317.jpg"
96,ÍßÇíÇÊ ÇáÎãÓ ÏŞÇÆŞ ŞÕÕ ááÇæáÇÏ ãÛÇãÑÇÊ ÑÇÆÚÉ ááÇæáÇÏ,25,5,(1 review),ıÓáÓáÉ ÍßÇíÇÊ ÇáÎãÓ ÏŞÇÆŞı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/429633.jpg"
97,ÍßÇíÇÊ ÇáÎãÓ ÏŞÇÆŞ ŞÕÕ ááÈäÇÊ ŞÕÕ áØíİÉ æ ÌĞÇÈÉ,25,5,(3 reviews),ıÓáÓáÉ ÍßÇíÇÊ ÇáÎãÓ ÏŞÇÆŞı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/429634.jpg"
98,501 ÔíÁ áÊÈÍË ÚäåÇ ÇáßËíÑ ãä ÇáÇÔíÇÁ ááÈÍË ÚäåÇ æÇáÚËæÑ ÚáíåÇ 8 ØíæÑ,25,5,(2 reviews),ıãßÊÈÉ ÌÑíÑı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/429646.jpg"
99,ÕÛÇÑ ÇáãÒÑÚÉ,14,5,(1 review),ıÓáÓáÉ ÕÛÇÑ ÇáÍíæÇäÇÊ ÇáÑÇÆÚÉı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/452125.jpg"
100,ÃáæÇä áÊáãÓåÇ ÇáÇÕİÑ,25,5,(1 review),ıÓáÓáÉ ÃáæÇä áÊáãÓåÇı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/452336.jpg"
101,ÃÑäæÈ,23,5,(1 review),ını/ıaı,ßÊÇÈ İáíä,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/420749.jpg"
102,2.0 ÇáĞßÇÁ ÇáÚÇØİí,50,5,(1 review),ıÌíä ÌÑíİÒ ı/ı ÊÑÇİíÓ ÈÑÇÏÈíÑíı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/4/5/e/f/45ef6f2ecc8eb58f278abe45945a6f6503e2fc75_357821.jpg"
103,ÇáßáãÇÊ ãßÊÈÊí ÇáÊÚáíãíÉ ÇáÇæáì,25,5,(1 review),ıãßÊÈÊí ÇáÊÚáíãíÉ ÇáÇæáìı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/5/358318.jpg"
104,ÇáÇáæÇä ãßÊÈÊí ÇáÊÚáíãíÉ ÇáÇæáì,25,5,(1 review),ıãßÊÈÊí ÇáÊÚáíãíÉ ÇáÇæáìı,ßÊÇÈ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/3/1/a/e31a36a47784a6dcc8e07e56bfc9685940562bdd_358321.jpg"
105,ßíİ ÊßÓÈ ÇáÇÕÏŞÇÁ æÊÄËÑ İí ÇáäÇÓ İí ÇáÚÕÑ ÇáÑŞãí,64,5,(1 review),ıÏíá ßÇÑäíÌí æÔÑßÇåı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/9/392553.jpeg"
106,ÇáÌÑíãÉ æÇáÚŞÇÈ,29,5,(1 review),ıİíæÏæÑ ÏæÓÊæíİÓßíı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/f/c/a/8fca81e6901b249c5c41033cfa246a50986c547e_589557.jpg"
107,ßÊÇÈí ÇáÇæá ÇáãÕæÑ ÇáÍÑæİ ÇáÇÔßÇá æÇáÇáæÇä ÇáÇÑŞÇã,29,5,(1 review),ını/ıaı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/1/8/5/b/185b25e758673b74918ea58b6e7e49ffae339edb_585857.jpg"
108,ÇáßÊÇÈ ÇáßÈíÑ ááÇäÔØÉ ÇáÑÇÆÚÉ,49,5,(1 review),ını/ıaı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Audio & Video CD/DVD,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/d/4/e/9d4e7d7b1c49f7adf15fcc8434ecd3cbdf2ea753_586093.jpg"
109,ÃÓÇØíÑ ÇáÚÇáã ÈÇíÌÇÒ,35,5,(1 review),ıãÇÑß ÏÇäíáÒı,Paperback,"Jarir Publications Books,, History & Geography,, New Arrivals,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/0/5/7/6/0576fb396180de1f525f78446650084369871981_594705.jpg"
110,ÇáÚíæä ÇáİÖíÉ ÎãÓ áíÇá İí ãØÚã İÑíÏí ÑæÇíÉ ãÕæÑÉ,49,5,(1 review),ıÓßæÊ ßÇæËæäı,Paperback,"Jarir Publications Books,, Children Books,, New Arrivals,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/a/5/d/da5d9f761120ffa32fa27f34e43ebddef056f247_613512.jpg"
111,ÇáÇÈ ÇáÛäí ÇáÇÈ ÇáİŞíÑ ãÚ ÊÍÏíËÇÊ ãä ÃÌá ÚÇáã Çáíæã,79,5,(1 review),ıÑæÈÑÊ Êí ßíæÓÇßíı,Paperback,"Jarir Publications Books,, Business & Management,, New Arrivals,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/6/f/3/e6f368210f5b51045032371a774932eecde42d29_608932.jpg"
112,ßÊÇÈ ÇáİáÓİÉ,129,5,(1 review),ıÓáÓáÉ ÃİßÇÑ ßÈíÑÉ ãæÖÍÉ ÈÈÓÇØÉı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Politics & Social Sciences,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/c/1/c/9/c1c91c6acafc6aaa0ba56610b6bfa690fcdb97e0_561985.jpg"
113,ÇáãÊãíÒ İí ãŞíÇÓ ãæåÈÉ 9-10 ÇáØÈÚÉ ÇáÎÇãÓÉ,90,5,(1 review),ıÇÈÑÇåíã ŞÔíÑı,Paperback,"School Textbooks,, New Arrivals,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/2/2/c/0/22c02b48171d7082bb8f15641e2d78df1b415af5_638421.jpg"
114,áÇ ÊÕÏŞ ßá ãÇ ÊİßÑ İíå áãÇĞÇ íÚÏ ÊİßíÑß ÈÏÇíå æ äåÇíÉ ÇáãÚÇäÇÉ,29,5,(1 review),ıÌæÒíİ äíæíäı,Paperback,"Jarir Publications Books,, Self Development,, New Arrivals,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/4/5/6/845682015a05076368665e197f34f5118875f4b5_620681.jpg"
115,ÃãíÑÇÊ ÏíÒäí ßÊÇÈ ÇáãÊÚÉ ÇáßÈíÑ,35,5,(1 review),ıãßÊÈÉ ÌÑíÑı,Paperback,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/493453.jpg"
116,ÓíßæáæÌíÉ ÇáÈíÚ ÒÏ ãä ãÈíÚÇÊß ÃÓÑÚ æÃÓåá ããÇ ßäÊ ÊÚÊŞÏ ãä ŞÈá,39,5,(1 review),ıÈÑÇíä ÊÑÇíÓíı,Paperback,"Jarir Publications Books,, Best Sellers,, Business & Management,, Bargain Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/9/494140.jpg"
117,ßÊÇÈ ÇáÇäÔØÉ ÇáßÈíÑ ááÈäÇÊ,45,5,(1 review),ıãßÊÈÉ ÌÑíÑı,Paperback,"Jarir Publications Books,, Audio & Video CD/DVD,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/503728.jpg"
118,İä Şæá áÇ ßíİ,27,5,(1 review),ı Ïíãæä ÒåÇÑíÇÏÓı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/3/538028.jpg"
119,áÇ Êßä áØíİÇ ÃßËÑ ãä ÇááÇÒã ßíİ ÊÊÌäÈ ÊÓÚÉ ÃÎØÇÁ ÖÇÑÉ Èß,39,5,(1 review),ıÏíæß ÑæÈäÓæäı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/8/1/e/4/81e434ec2e51a38f04a0f21fc0ae28cd5d817027_198814.jpg"
120,ãĞßÑÉ ÇáåÏæÁ,32,5,(1 review),ıÇäÇ ÈÇÑäÒı,Paperback,"Jarir Publications Books,, Self Development,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/549575.jpg"
121,ÔÑßÇÁ İí ÇáÌÑíãÉ,37,4.3,(3 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/2/321383.jpg"
122,ÇáãÊãíÒæä ŞÕÉ äÌÇÍ,34,5,(2 reviews),ıãÇáßæã ÌáÇÏæíáı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/4/348039.jpg"
