,Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image
15,ÇáİÊÇÉ ÇáËÇáËÉ ÇáÌÑíãÉ ÇáãäÓíÉ,37,4.9,(11 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/450969.jpg"
16,ÃÛäì ÑÌá İí ÈÇÈá,35,4.9,(13 reviews),ıÌæÑÌ ßáÇÓæäı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,, New Arrivals,, E-Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/5/251044.jpg"
17,ããíÒ ÈÇáÇÕİÑ,40,4.4,(14 reviews),ıÑæÊÔíá ÈäíäÊÌæä ı/ı ÇÊÔ ÌÇßÓæä ÈÑÇæä ÇáÇÈäı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,, E-Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/4/343945.jpg"
18,ÇáÑÌÇá ãä ÇáãÑíÎ ÇáäÓÇÁ ãä ÇáÒåÑÉ ÇáÏáíá ÇáÑÇÆÚ áİåã ÇáÌäÓ ÇáÇÎÑ,69,4.3,(10 reviews),ıÌæä ÌÑÇíı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/1/3/130610.jpg"
19,ÇÈÏÃ ãä ÍíË ÃäÊ ÏİÊÑ íæãíÇÊ ááÇÓÊßÔÇİ ÇáĞÇÊí,28,Null,Null,ıãíÑÇ áíå ÈÇÊáı,Paperback,"Jarir Publications Books,, Self Development,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/459105.jpg"
20,ÚŞÏß ÇáäİÓíÉ ÓÌäß ÇáÇÈÏí,69,5,(11 reviews),ıíæÓİ ÇáÍÓäíı,Paperback,"Politics & Social Sciences,, Best Sellers,, New Arrivals,, E-Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/563593.jpg"
21,áÛÇÊ ÇáÍÈ ÇáÎãÓ ßíİ ÊÚÈÑ Úä ÍÈß ÇáÚãíŞ áÔÑíß ÍíÇÊß,55,Null,Null,ıÌÇÑí ÊÔÇÈãÇäı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/3/2/3/c/323ccdc64bbdb9e0b2410625aea5381b34a899f2_327816.jpg"
22,ÃÓÑÇÑ ÚŞá ÇáãáíæäíÑ ÇÊŞÇä áÚÈÉ ÊÍŞíŞ ÇáËÑÇÁ,39,4.4,(9 reviews),ıÊ.åÇÑİ ÇíßÑı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,, Bargain Books,, New Arrivals,, E-Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/7/276808.jpg"
23,ÇáÔÚæÑ ÇáÌíÏ ÇáÚáÇÌ ÇáÌÏíÏ ááÊŞáÈÇÊ ÇáãÒÇÌíÉ,80,5,(7 reviews),ıÏíİíÏ Ïí ÈíÑäÒı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/4/449573.jpg"
24,ãÛÇãÑÇÊ ÔíÑáæß åæáãÒ,32,4.3,(6 reviews),ıÂÑËÑ ßæäÇä Ïæíáı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/502641.jpg"
25,ãä ÇáĞí ÍÑß ŞØÚÉ ÇáÌÈä ÇáÎÇÕÉ Èí,49,4.8,(9 reviews),ıÓÈäÓÑ ÌæäÓæäı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,, Self Development,, New Arrivals,, E-Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/1/6/169850.jpg"
26,ãĞßÑÇÊ ÔíÑáæß åæáãÒ,32,4.6,(5 reviews),ıÂÑËÑ ßæäÇä Ïæíáı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/502661.jpg"
27,áÇäß Çááå ÇáÌÒÁ ÇáÇæá ÑÍáÉ Çáì ÇáÓãÇÁ ÇáÓÇÈÚÉ,35,5,(5 reviews),ıÚáí ÌÇÈÑ Çáİíİíı,Paperback,"Islamic & Religion Books,, New Arrivals,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/a/d/f/dadf37ad30faa5f18d56d50ecffb69da3ac70bce_597975.jpg"
